japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2021-12-11,,,,,,,,,,,,,61191,1473,76,59642,2021-12-14,,,0,0,北海道
JP-01,HOKKAIDO,2021-12-12,,,,,,,,,,,,,61199,1474,65,59660,2021-12-14,,,1,8,北海道
JP-01,HOKKAIDO,2021-12-13,,,,,,,,,,,,,61200,1474,60,59666,2021-12-14,,,0,1,北海道
JP-01,HOKKAIDO,2021-12-14,,,,,,,,,,,,,61204,1474,53,59677,2021-12-14,,,0,4,北海道
JP-01,HOKKAIDO,2021-12-15,61208.02734375,61207.51171875,61249.91015625,1474.033447265625,1474.02392578125,1475.023193359375,50.994209289550781,50.992668151855469,74.79583740234375,59680.5859375,59680.08984375,59696.98046875,,,,,2021-12-14,0.033447265625,4.02734375,,,北海道
JP-01,HOKKAIDO,2021-12-16,61210.95703125,61209.98828125,61290.6875,1474.07470703125,1474.056396484375,1475.9814453125,49.348411560058594,49.3455696105957,93.098548889160156,59683.6484375,59682.703125,59715.58203125,,,,,2021-12-14,0.041259765625,2.9296875,,,北海道
JP-01,HOKKAIDO,2021-12-17,61213.15625,61211.77734375,61328.12109375,1474.1204833984375,1474.094482421875,1476.9228515625,47.954376220703125,47.950424194335938,108.55651092529297,59686.546875,59685.19921875,59734.546875,,,,,2021-12-14,0.0457763671875,2.19921875,,,北海道
JP-01,HOKKAIDO,2021-12-18,61214.90234375,61213.15625,61361.00390625,1474.167724609375,1474.134765625,1477.8040771484375,46.326107025146484,46.321250915527344,120.58539581298828,59689.48828125,59687.77734375,59752.79296875,,,,,2021-12-14,0.0472412109375,1.74609375,,,北海道
JP-01,HOKKAIDO,2021-12-19,61216.3359375,61214.26171875,61387.25,1474.2152099609375,1474.176025390625,1478.587890625,44.055126190185547,44.049629211425781,128.12991333007812,59693.14453125,59691.11328125,59769.76953125,,,,,2021-12-14,0.0474853515625,1.43359375,,,北海道
JP-01,HOKKAIDO,2021-12-20,61217.578125,61215.1953125,61408.1171875,1474.2613525390625,1474.216552734375,1479.277099609375,41.8861198425293,41.880134582519531,133.34283447265625,59696.984375,59694.65625,59785,,,,,2021-12-14,0.046142578125,1.2421875,,,北海道
JP-01,HOKKAIDO,2021-12-21,61218.82421875,61216.16796875,61427.49609375,1474.30419921875,1474.2542724609375,1479.921875,41.061256408691406,41.054714202880859,140.87277221679688,59700.61328125,59698.01953125,59799.5390625,,,,,2021-12-14,0.0428466796875,1.24609375,,,北海道
JP-01,HOKKAIDO,2021-12-22,61219.9921875,61217.09375,61444.640625,1474.3402099609375,1474.28564453125,1480.5150146484375,39.867435455322266,39.860500335693359,145.64445495605469,59703.6875,59700.85546875,59812.88671875,,,,,2021-12-14,0.0360107421875,1.16796875,,,北海道
JP-01,HOKKAIDO,2021-12-23,61221.0859375,61217.97265625,61458.86328125,1474.3724365234375,1474.313720703125,1481.021484375,38.349323272705078,38.3421630859375,147.7840576171875,59706.125,59703.07421875,59823.77734375,,,,,2021-12-14,0.0322265625,1.09375,,,北海道
JP-01,HOKKAIDO,2021-12-24,61222.09375,61218.78125,61469.3359375,1474.404296875,1474.341796875,1481.4161376953125,36.97894287109375,36.971614837646484,149.19509887695312,59708.31640625,59705.0703125,59831.73046875,,,,,2021-12-14,0.0318603515625,1.0078125,,,北海道
JP-01,HOKKAIDO,2021-12-25,61223.03125,61219.53515625,61476.49609375,1474.4359130859375,1474.3699951171875,1481.732177734375,35.498882293701172,35.491489410400391,149.01960754394531,59710.49609375,59707.07421875,59837.88671875,,,,,2021-12-14,0.0316162109375,0.9375,,,北海道
JP-01,HOKKAIDO,2021-12-26,61223.8828125,61220.22265625,61479.7109375,1474.4674072265625,1474.3985595703125,1481.9996337890625,33.546562194824219,33.539272308349609,145.76002502441406,59713.1953125,59709.61328125,59843.61328125,,,,,2021-12-14,0.031494140625,0.8515625,,,北海道
JP-01,HOKKAIDO,2021-12-27,61224.6640625,61220.859375,61480.1875,1474.498046875,1474.426513671875,1482.211181640625,31.652755737304688,31.6456241607666,141.73252868652344,59716.015625,59712.296875,59848.23828125,,,,,2021-12-14,0.0306396484375,0.78125,,,北海道
JP-01,HOKKAIDO,2021-12-28,61225.48046875,61221.54296875,61479.72265625,1474.52685546875,1474.452880859375,1482.3560791015625,30.618101119995117,30.610988616943359,140.77024841308594,59718.67578125,59714.82421875,59851.14453125,,,,,2021-12-14,0.02880859375,0.81640625,,,北海道
JP-01,HOKKAIDO,2021-12-29,61226.26171875,61222.21484375,61479.53515625,1474.5517578125,1474.4757080078125,1482.495361328125,29.507291793823242,29.500251770019531,138.84403991699219,59720.921875,59716.95703125,59853.89453125,,,,,2021-12-14,0.02490234375,0.78125,,,北海道
JP-01,HOKKAIDO,2021-12-30,61227.0078125,61222.8515625,61479.37890625,1474.574462890625,1474.4964599609375,1482.6143798828125,28.30683708190918,28.2999267578125,135.94317626953125,59722.69921875,59718.62890625,59855.9453125,,,,,2021-12-14,0.022705078125,0.74609375,,,北海道
JP-01,HOKKAIDO,2021-12-31,61227.6875,61223.44140625,61478.296875,1474.596923828125,1474.5172119140625,1482.69580078125,27.239850997924805,27.233062744140625,133.20549011230469,59724.29296875,59720.1328125,59856.96875,,,,,2021-12-14,0.0224609375,0.6796875,,,北海道
JP-01,HOKKAIDO,2022-01-01,61228.328125,61223.9921875,61475.85546875,1474.619384765625,1474.5379638671875,1482.7457275390625,26.110431671142578,26.103815078735352,129.74742126464844,59725.87890625,59721.62890625,59857.296875,,,,,2021-12-14,0.0224609375,0.640625,,,北海道
JP-01,HOKKAIDO,2022-01-02,61228.90625,61224.49609375,61470.75390625,1474.6417236328125,1474.558837890625,1482.767333984375,24.638641357421875,24.632303237915039,124.19343566894531,59727.84375,59723.5234375,59857.4140625,,,,,2021-12-14,0.0223388671875,0.578125,,,北海道
JP-01,HOKKAIDO,2022-01-03,61229.4453125,61224.96484375,61464.36328125,1474.6634521484375,1474.579345703125,1482.762939453125,23.204641342163086,23.19859504699707,118.46223449707031,59729.90234375,59725.51171875,59857.07421875,,,,,2021-12-14,0.021728515625,0.5390625,,,北海道
JP-01,HOKKAIDO,2022-01-04,61230,61225.4609375,61459.05078125,1474.6839599609375,1474.5986328125,1482.75537109375,22.365158081054688,22.359264373779297,115.47624969482422,59731.83203125,59727.3828125,59856.72265625,,,,,2021-12-14,0.0205078125,0.5546875,,,北海道
JP-01,HOKKAIDO,2022-01-05,61230.546875,61225.953125,61453.7109375,1474.7017822265625,1474.615478515625,1482.7249755859375,21.502141952514648,21.496419906616211,112.1495361328125,59733.46875,59728.96875,59855.625,,,,,2021-12-14,0.017822265625,0.546875,,,北海道
JP-01,HOKKAIDO,2022-01-06,61231.05078125,61226.40625,61449.09375,1474.7181396484375,1474.630859375,1482.693603515625,20.605611801147461,20.600074768066406,108.4482421875,59734.75390625,59730.203125,59854.33203125,,,,,2021-12-14,0.016357421875,0.50390625,,,北海道
JP-01,HOKKAIDO,2022-01-07,61231.51953125,61226.82421875,61444.96875,1474.734375,1474.6461181640625,1482.6683349609375,19.811531066894531,19.806163787841797,105.11217498779297,59735.91015625,59731.3125,59853.19921875,,,,,2021-12-14,0.0162353515625,0.46875,,,北海道
JP-01,HOKKAIDO,2022-01-08,61231.94921875,61227.21875,61440.78515625,1474.75048828125,1474.6614990234375,1482.6470947265625,18.977602005004883,18.972419738769531,101.41456604003906,59737.05078125,59732.4140625,59852.30078125,,,,,2021-12-14,0.01611328125,0.4296875,,,北海道
JP-01,HOKKAIDO,2022-01-09,61232.34765625,61227.578125,61436.0703125,1474.7666015625,1474.6768798828125,1482.6531982421875,17.893211364746094,17.888290405273438,96.232818603515625,59738.47265625,59733.80078125,59852.5703125,,,,,2021-12-14,0.01611328125,0.3984375,,,北海道
JP-01,HOKKAIDO,2022-01-10,61232.7109375,61227.9140625,61431.125,1474.7823486328125,1474.6920166015625,1482.6607666015625,16.830999374389648,16.826337814331055,91.0390853881836,59739.953125,59735.25,59853.0625,,,,,2021-12-14,0.0157470703125,0.36328125,,,北海道
JP-01,HOKKAIDO,2022-01-11,61233.08984375,61228.26171875,61426.71875,1474.797119140625,1474.7061767578125,1482.655029296875,16.179718017578125,16.175209045410156,87.967254638671875,59741.34765625,59736.61328125,59853.16015625,,,,,2021-12-14,0.0147705078125,0.37890625,,,北海道
JP-02,AOMORI,2021-11-17,,,,,,,,,,,,,5897,38,1,5858,2021-12-14,,,,,青森県
JP-02,AOMORI,2021-11-18,,,,,,,,,,,,,5897,38,1,5858,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-19,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-20,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-21,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-22,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-23,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-24,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-25,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-26,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-27,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-28,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-29,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-11-30,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-01,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-02,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-03,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-04,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-05,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-06,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-07,,,,,,,,,,,,,5897,38,0,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-08,,,,,,,,,,,,,5898,38,1,5859,2021-12-14,,,0,1,青森県
JP-02,AOMORI,2021-12-09,,,,,,,,,,,,,5900,38,3,5859,2021-12-14,,,0,2,青森県
JP-02,AOMORI,2021-12-10,,,,,,,,,,,,,5900,38,3,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-11,,,,,,,,,,,,,5900,38,3,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-12,,,,,,,,,,,,,5900,38,3,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-13,,,,,,,,,,,,,5900,38,3,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-14,,,,,,,,,,,,,5900,38,3,5859,2021-12-14,,,0,0,青森県
JP-02,AOMORI,2021-12-15,5900,5900,5902.8564453125,38.001857757568359,38.001613616943359,38.026081085205078,2.786576509475708,2.7864739894866943,4.0693235397338867,5859.2109375,5859.162109375,5860.76123046875,,,,,2021-12-14,0.001857757568359375,0,,,青森県
JP-02,AOMORI,2021-12-16,5900.02587890625,5900,5905.33642578125,38.003578186035156,38.003108978271484,38.049606323242188,2.6304175853729248,2.6302461624145508,4.9432148933410645,5859.37451171875,5859.28125,5862.31591796875,,,,,2021-12-14,0.001720428466796875,0.02587890625,,,青森県
JP-02,AOMORI,2021-12-17,5900.060546875,5900,5907.43798828125,38.005226135253906,38.004558563232422,38.070369720458984,2.501378059387207,2.501157283782959,5.6497502326965332,5859.51806640625,5859.3857421875,5863.654296875,,,,,2021-12-14,0.00164794921875,0.03466796875,,,青森県
JP-02,AOMORI,2021-12-18,5900.09765625,5900,5909.14208984375,38.006820678710938,38.005973815917969,38.088191986083984,2.3778905868530273,2.3776321411132812,6.1836066246032715,5859.65966796875,5859.49169921875,5864.7646484375,,,,,2021-12-14,0.00159454345703125,0.037109375,,,青森県
JP-02,AOMORI,2021-12-19,5900.12841796875,5900,5910.5283203125,38.008354187011719,38.007350921630859,38.104362487792969,2.2266511917114258,2.2263679504394531,6.4752540588378906,5859.83349609375,5859.63427734375,5865.818359375,,,,,2021-12-14,0.00153350830078125,0.03076171875,,,青森県
JP-02,AOMORI,2021-12-20,5900.15673828125,5900,5913.6875,38.009811401367188,38.008659362792969,38.137226104736328,2.0773353576660156,2.077031135559082,6.6032047271728516,5860.013671875,5859.78564453125,5868.81640625,,,,,2021-12-14,0.00145721435546875,0.0283203125,,,青森県
JP-02,AOMORI,2021-12-21,5900.212890625,5900,5918.4765625,38.01116943359375,38.009883880615234,38.183986663818359,1.9761258363723755,1.9757968187332153,6.7510828971862793,5860.18115234375,5859.927734375,5873.431640625,,,,,2021-12-14,0.0013580322265625,0.05615234375,,,青森県
JP-02,AOMORI,2021-12-22,5900.29248046875,5900.01416015625,5924.68505859375,38.012447357177734,38.011035919189453,38.243061065673828,1.9024229049682617,1.9020673036575317,6.89465856552124,5860.3251953125,5860.04833984375,5879.40966796875,,,,,2021-12-14,0.001277923583984375,0.07958984375,,,青森県
JP-02,AOMORI,2021-12-23,5900.3798828125,5900.08154296875,5932.1650390625,38.0136833190918,38.012157440185547,38.313495635986328,1.8371217250823975,1.8367400169372559,6.9899778366088867,5860.44189453125,5860.14501953125,5886.623046875,,,,,2021-12-14,0.0012359619140625,0.08740234375,,,青森県
JP-02,AOMORI,2021-12-24,5900.44482421875,5900.12744140625,5940.6435546875,38.014923095703125,38.013298034667969,38.393531799316406,1.7802236080169678,1.7798159122467041,7.0519866943359375,5860.55029296875,5860.2353515625,5894.91748046875,,,,,2021-12-14,0.001239776611328125,0.06494140625,,,青森県
JP-02,AOMORI,2021-12-25,5900.49560546875,5900.1630859375,5949.96533203125,38.016143798828125,38.014423370361328,38.481727600097656,1.7144316434860229,1.7140024900436401,7.0223484039306641,5860.658203125,5860.32763671875,5904.14892578125,,,,,2021-12-14,0.001220703125,0.05078125,,,青森県
JP-02,AOMORI,2021-12-26,5900.5322265625,5900.18505859375,5959.94287109375,38.017330169677734,38.015525817871094,38.5768928527832,1.6241600513458252,1.6237186193466187,6.8399324417114258,5860.791015625,5860.44580078125,5914.2265625,,,,,2021-12-14,0.001186370849609375,0.03662109375,,,青森県
JP-02,AOMORI,2021-12-27,5900.5615234375,5900.20166015625,5968.8466796875,38.018459320068359,38.016574859619141,38.662601470947266,1.5344690084457397,1.5340222120285034,6.6215047836303711,5860.927734375,5860.5703125,5923.314453125,,,,,2021-12-14,0.001129150390625,0.029296875,,,青森県
JP-02,AOMORI,2021-12-28,5900.6162109375,5900.244140625,5976.96337890625,38.019508361816406,38.017555236816406,38.739780426025391,1.4885851144790649,1.4881259202957153,6.5625853538513184,5861.05615234375,5860.6865234375,5931.49853515625,,,,,2021-12-14,0.001049041748046875,0.0546875,,,青森県
JP-02,AOMORI,2021-12-29,5900.68798828125,5900.30615234375,5984.34765625,38.020492553710938,38.018474578857422,38.809280395507812,1.4497394561767578,1.4492696523666382,6.5132341384887695,5861.166015625,5860.78662109375,5938.859375,,,,,2021-12-14,0.00098419189453125,0.07177734375,,,青森県
JP-02,AOMORI,2021-12-30,5900.7646484375,5900.3720703125,5991.0341796875,38.021450042724609,38.019374847412109,38.871910095214844,1.4071606397628784,1.4066848754882812,6.428431510925293,5861.25634765625,5860.86669921875,5945.4755859375,,,,,2021-12-14,0.000957489013671875,0.07666015625,,,青森県
JP-02,AOMORI,2021-12-31,5900.818359375,5900.41796875,5996.99365234375,38.022415161132812,38.020290374755859,38.928382873535156,1.3684979677200317,1.3680177927017212,6.3450145721435547,5861.34033203125,5860.94287109375,5951.43408203125,,,,,2021-12-14,0.000965118408203125,0.0537109375,,,青森県
JP-02,AOMORI,2022-01-01,5900.85986328125,5900.451171875,6002.29296875,38.023365020751953,38.021194458007812,38.979293823242188,1.3207912445068359,1.3203127384185791,6.2047872543334961,5861.4248046875,5861.01904296875,5956.8046875,,,,,2021-12-14,0.000949859619140625,0.04150390625,,,青森県
JP-02,AOMORI,2022-01-02,5900.88916015625,5900.47412109375,6006.93212890625,38.0242919921875,38.022079467773438,39.025188446044922,1.2534259557724,1.2529590129852295,5.9574704170227051,5861.52783203125,5861.11572265625,5961.66650390625,,,,,2021-12-14,0.000926971435546875,0.029296875,,,青森県
JP-02,AOMORI,2022-01-03,5900.91162109375,5900.49072265625,6011.04638671875,38.025173187255859,38.022922515869141,39.066543579101562,1.1861692667007446,1.1857165098190308,5.6966991424560547,5861.6337890625,5861.2158203125,5966.05615234375,,,,,2021-12-14,0.000881195068359375,0.0224609375,,,青森県
JP-02,AOMORI,2022-01-04,5900.95361328125,5900.52734375,6014.845703125,38.0259895324707,38.023704528808594,39.103786468505859,1.152790904045105,1.1523412466049194,5.5879111289978027,5861.7333984375,5861.3095703125,5970.0107421875,,,,,2021-12-14,0.00081634521484375,0.0419921875,,,青森県
JP-02,AOMORI,2022-01-05,5901.00830078125,5900.57666015625,6018.33203125,38.026752471923828,38.024436950683594,39.137336730957031,1.1228828430175781,1.1224364042282104,5.4880990982055664,5861.818359375,5861.3896484375,5973.56640625,,,,,2021-12-14,0.000762939453125,0.0546875,,,青森県
JP-02,AOMORI,2022-01-06,5901.06591796875,5900.63037109375,6021.4345703125,38.027492523193359,38.025150299072266,39.166961669921875,1.0894169807434082,1.0889765024185181,5.3642077445983887,5861.888671875,5861.45556640625,5976.69091796875,,,,,2021-12-14,0.00074005126953125,0.0576171875,,,青森県
JP-02,AOMORI,2022-01-07,5901.10595703125,5900.66650390625,6023.39501953125,38.028236389160156,38.025871276855469,39.186622619628906,1.0588315725326538,1.0583980083465576,5.2509593963623047,5861.95361328125,5861.5166015625,5978.7255859375,,,,,2021-12-14,0.000743865966796875,0.0400390625,,,青森県
JP-02,AOMORI,2022-01-08,5901.1376953125,5900.69384765625,6023.3505859375,38.028968811035156,38.026580810546875,39.18853759765625,1.0213128328323364,1.0208925008773804,5.1030311584472656,5862.01904296875,5861.578125,5978.8154296875,,,,,2021-12-14,0.000732421875,0.03173828125,,,青森県
JP-02,AOMORI,2022-01-09,5901.1591796875,5900.71142578125,6021.5029296875,38.029682159423828,38.027275085449219,39.17486572265625,0.96856856346130371,0.96817034482955933,4.8773746490478516,5862.09814453125,5861.6533203125,5977.2265625,,,,,2021-12-14,0.000713348388671875,0.021484375,,,青森県
JP-02,AOMORI,2022-01-10,5901.17578125,5900.724609375,6018.0986328125,38.030357360839844,38.027935028076172,39.146945953369141,0.91577380895614624,0.91539967060089111,4.6489710807800293,5862.18017578125,5861.73193359375,5974.1240234375,,,,,2021-12-14,0.000675201416015625,0.0166015625,,,青森県
JP-02,AOMORI,2022-01-11,5901.2060546875,5900.75146484375,6013.36474609375,38.030986785888672,38.0285530090332,39.105808258056641,0.88820117712020874,0.88784235715866089,4.5469527244567871,5862.25634765625,5861.8046875,5969.60009765625,,,,,2021-12-14,0.000629425048828125,0.0302734375,,,青森県
JP-03,IWATE,2021-11-17,,,,,,,,,,,,,3487,53,1,3433,2021-12-14,,,,,岩手県
JP-03,IWATE,2021-11-18,,,,,,,,,,,,,3487,53,1,3433,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-19,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-20,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-21,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-22,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-23,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-24,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-25,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-26,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-27,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-28,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-29,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-11-30,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-01,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-02,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-03,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-04,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-05,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-06,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-07,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-08,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-09,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-10,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-11,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-12,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-13,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-14,,,,,,,,,,,,,3487,53,0,3434,2021-12-14,,,0,0,岩手県
JP-03,IWATE,2021-12-15,3487,3487,3493.61083984375,53,53,53.151584625244141,0,0,0,3434,3434,3440.459228515625,,,,,2021-12-14,0,0,,,岩手県
JP-03,IWATE,2021-12-16,3487.000732421875,3487,3498.5693359375,53,53,53.266555786132812,0.00029877244378440082,0.00029873070889152586,0.00053339282749220729,3434,3434,3445.30078125,,,,,2021-12-14,0,0.000732421875,,,岩手県
JP-03,IWATE,2021-12-17,3487.002197265625,3487,3501.944091796875,53,53,53.346439361572266,0.00082603015471249819,0.00082586973439902067,0.0017585295718163252,3434,3434,3448.59228515625,,,,,2021-12-14,0,0.00146484375,,,岩手県
JP-03,IWATE,2021-12-18,3487.00439453125,3487,3503.81591796875,53,53,53.393524169921875,0.0013879715697839856,0.0013876402517780662,0.0033942230511456728,3434,3434,3450.412841796875,,,,,2021-12-14,0,0.002197265625,,,岩手県
JP-03,IWATE,2021-12-19,3487.005859375,3487,3504.271240234375,53,53,53.409896850585938,0.0020551213528960943,0.002054557204246521,0.0056268153712153435,3434,3434,3450.847412109375,,,,,2021-12-14,0,0.00146484375,,,岩手県
